	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	operon_name
PA14_22160	20		11.86870805920605	16061.818181818182	19070.0	10.0	35520.0	35510.0
PA14_54750	9		27.605343443135048	19587.555555555555	18530.0	30.0	36470.0	36440.0
PA14_27690	23		9.671740528489345	484.55555555555554	45.0	5.0	1350.0	1345.0	PA14_27700-PA14_27690
PA14_35980	16		4.359083042039055	6107.3538461538465	620.0	10.0	32180.0	32170.0	PA14_35990-PA14_35980-PA14_35970-PA14_35950
PA14_00520	36		25.3488711737105	19002.222222222223	17830.0	200.0	32650.0	32450.0
PA14_27640	23		19.6515486976405	484.55555555555554	45.0	5.0	1350.0	1345.0	PA14_27640-PA14_27630
PA14_69350	33		206.8421871106105	16742.679738562092	13650.0	10.0	36510.0	36500.0
PA14_28580	25		41.616846765819446	19249.416666666668	19210.0	10.0	35540.0	35530.0	PA14_28580-PA14_28590
PA14_59790	7	pvrR	757.9509706928995	18264.117647058825	20125.0	10.0	36440.0	36430.0	PA14_59800-pvrR-rcsC-rcsB
PA14_59680	4		8.322601160515664	3354.4761904761904	685.0	10.0	25070.0	25060.0	PA14_59640-PA14_59650-PA14_59660-PA14_59670-PA14_59680-PA14_59690-PA14_59700
PA14_14560	26		25.595458372266155	16528.03267973856	16543.0	3.0	36350.0	36347.0
PA14_00970	19		77.714719505045	19104.552631578947	20205.0	10.0	36640.0	36630.0	PA14_00980-PA14_00970-PA14_00960-PA14_00940-PA14_00925
PA14_67960	1		33.1116411475862	17778.46153846154	17995.0	410.0	36490.0	36080.0	PA14_67940-PA14_67960-PA14_67970
PA14_50750	1		44.88543056872889	17778.46153846154	17995.0	410.0	36490.0	36080.0
PA14_20530	28		134.9345232201855	17067.88888888889	15215.0	1505.0	35795.0	34290.0	PA14_20510-PA14_20520-PA14_20530
PA14_22530	35		42.40739978957279	18517.904761904763	21730.0	20.0	36560.0	36540.0	PA14_22530-PA14_22520
PA14_28810	6		3090.8288010437354	14651.538461538461	13270.0	5.0	30960.0	30955.0
PA14_35750	34		107.6972512194915	12530.545454545454	4230.0	10.0	34010.0	34000.0	PA14_35740-PA14_35750
PA14_15540	32		125.04568476379401	15747.166666666666	15720.0	10.0	36630.0	36620.0	trbJ-PA14_15530-PA14_15540
PA14_54720	9		11.47172075941275	19587.555555555555	18530.0	30.0	36470.0	36440.0	PA14_54730-PA14_54720
PA14_22520	22		50.8417353944147	18073.777777777777	17550.0	10.0	36450.0	36440.0	PA14_22530-PA14_22520
PA14_59930	16		17.0173297713861	6107.3538461538465	620.0	10.0	32180.0	32170.0	PA14_59860-PA14_59870-PA14_59880-PA14_59890-PA14_59900-PA14_59910-PA14_59920-PA14_59930-PA14_59940-PA14_59950-PA14_59960
PA14_15370	35		17.006547781545997	18517.904761904763	21730.0	20.0	36560.0	36540.0
PA14_59090	29		102.06283013636249	16991.742424242424	17865.0	10.0	35970.0	35960.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_59660	8		20.1345180254309	12549.89010989011	12130.0	10.0	28890.0	28880.0	PA14_59640-PA14_59650-PA14_59660-PA14_59670-PA14_59680-PA14_59690-PA14_59700
PA14_46600	8		35.47360975097975	12549.89010989011	12130.0	10.0	28890.0	28880.0	PA14_46570-PA14_46580-PA14_46590-PA14_46600
PA14_61110	13		44.35118920704305	20629.333333333332	20900.0	3320.0	36670.0	33350.0	PA14_61150-PA14_61140-PA14_61130-PA14_61120-PA14_61110
PA14_36020	27		124.64644765855701	17900.641025641027	18390.0	10.0	36630.0	36620.0	PA14_36030-PA14_36020-PA14_36010
PA14_14300	26		36.146664800555804	16528.03267973856	16543.0	3.0	36350.0	36347.0	PA14_14310-PA14_14300
PA14_30930	10		5.265358122566239	15421.52380952381	14930.0	10.0	35240.0	35230.0	PA14_30960-PA14_30950-PA14_30940-PA14_30930
PA14_55020	8		33.42666928484175	12549.89010989011	12130.0	10.0	28890.0	28880.0	PA14_55000-PA14_55020-PA14_55030-PA14_55040
PA14_55030	8		26.1187238149564	12549.89010989011	12130.0	10.0	28890.0	28880.0	PA14_55000-PA14_55020-PA14_55030-PA14_55040
PA14_31130	3		8.58661347206045	12484.678362573099	15480.0	10.0	35920.0	35910.0	PA14_31130-PA14_31110
PA14_10120	27		62.833646934762804	17900.641025641027	18390.0	10.0	36630.0	36620.0
PA14_15530	19		19.2299145702377	19104.552631578947	20205.0	10.0	36640.0	36630.0	trbJ-PA14_15530-PA14_15540
