BioProject_ID,SRA_ID,Strain,Genotype,Abx_Marker,Variant_Phenotype,Medium,,
"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA303970
 SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP066606",SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP066606,AES-1R,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA267642,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP049980,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA273742,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP052869,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA273742,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP052869,Other Species,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA283002,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP057994,Clinical Isolates,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA283002,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP057994,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA276067,NA,PA14,"delta-sutA carrying pMQ72_HASutA, delta-sutA carrying pMQ72, delta-sutA, attTn7:Para_SutA",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA276069,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP055410,PA14,"delta-sutA, attTn7:Para_SutA",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA252560,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP043146,PAO1,NA,Ceftolozane-tazobactam,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA239877,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP039358,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA239877,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP039358,Other Species,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA219396,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP029979,PA14,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA219396,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP029979,PA14,NA,NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA383797,NA,CLJ1,NA,NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA383798,NA,CJL3,NA,NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJEB21307/,NA,PAO1,mexZ^,NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJEB24688/,NA,Clinical Isolates,NA,NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA300924/,NA,PAO1,"HapZ^, SagS^",NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA294484,NA,PA14,"PA14 4951, PA14 4674",NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA311263,NA,PAK,NA,NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA375803,NA,PA14,AtvR++,NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA479711,NA,Clinical Isolates,NA,NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA530741,NA,PAO1,NA,NA,NA,LB,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA503261,NA,PA14,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA751621,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP330943,PAO1,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
